Avg_Speed;Pct_Ethanol;Avg_Speed_sq;Pct_Ethanol*Avg_Speed;Yield_km_Liter
28;0.008;784;0.224;11.143
52;0.002;2704;0.104;14.275
41;0.001;1681;0.041;13.521
29;0;841;0;11.909
29;0.761;841;22.069;10.354
54;0.834;2916;45.036;10.826
53;0.976;2809;51.728;10.31
57;0.997;3249;56.829;12.779
28;1;784;28;8.576
52;0.362;2704;18.824;12.285
44;0.088;1936;3.872;13.153
30;0.016;900;0.48;11.805
30;0.003;900;0.09;11.685
48;0.002;2304;0.096;14.363
30;0;900;0;11.749
54;0.568;2916;30.672;12.822
49;0.871;2401;42.679;10.204
25;0.091;625;2.275;11.2
72;0.065;5184;4.68;14.33
82;0.009;6724;0.738;13.295
44;0.002;1936;0.088;13.176
48;0;2304;0;14.08
27;0;729;0;11.421
37;0;1369;0;13.245
46;0;2116;0;14.279
45;0;2025;0;13.896
32;0;1024;0;13.228
60;0;3600;0;13.886
43;0;1849;0;14.802
46;0;2116;0;13.46
27;0;729;0;10.588
54;0;2916;0;15.037
49;0;2401;0;14.95
45;0;2025;0;14.55
32;0;1024;0;12.72
43;0;1849;0;14.368
25;0;625;0;11.804
40;0;1600;0;13.926
25;0;625;0;11.784
26;0;676;0;11.918
27;0;729;0;11.982
25;0;625;0;11.463
26;0;676;0;13.14
38;0;1444;0;13.394
30;0;900;0;12.69
30;0;900;0;12.108
40;0;1600;0;13.841
26;0.896;676;23.296;9.661
25;0.447;625;11.175;10.39
26;0.201;676;5.226;11.288
37;0.027;1369;0.999;13.363
31;0.004;961;0.124;12.525
26;0.001;676;0.026;11.036
34;0.304;1156;10.336;12.396
42;0.267;1764;11.214;12.98
34;0.061;1156;2.074;12.914
45;0.006;2025;0.27;15.2
37;0.004;1369;0.148;13.381
30;0.002;900;0.06;12.235
30;0;900;0;12.825
29;0;841;0;11.948
40;0;1600;0;14.619
27;0;729;0;12.369
27;0;729;0;11.924
27;0;729;0;12.282
28;0;784;0;12.32
26;0;676;0;11.627
27;0;729;0;11.614
27;0;729;0;12.062
45;0;2025;0;13.654
28;0;784;0;11.89
32;0;1024;0;12.412
32;0.612;1024;19.584;10.014
31;0.684;961;21.204;10.216
35;0.688;1225;24.08;10.422
35;0.606;1225;21.21;10.881
33;0.093;1089;3.069;11.921
34;0.848;1156;28.832;10.618
31;0.097;961;3.007;12.161
31;0.031;961;0.961;12.026
31;0.013;961;0.403;12.211
31;0.003;961;0.093;12.537
30;0.918;900;27.54;9.756
33;0.285;1089;9.405;11.206
50;0.06;2500;3;12.598
74;0.005;5476;0.37;13.409
47;0.001;2209;0.047;14.152
31;0;961;0;12.281
32;0;1024;0;13.113
36;0;1296;0;12.593
30;0;900;0;12.23
32;0;1024;0;12.763
30;0.881;900;26.43;10.06
29;0.339;841;9.831;11.047
31;0.117;961;3.627;11.676
39;0.02;1521;0.78;13.682
40;0.009;1600;0.36;11.544
32;0.004;1024;0.128;13.061
32;0.002;1024;0.064;12.749
30;0;900;0;11.693
33;0.884;1089;29.172;9.895
30;0.976;900;29.28;9.174
32;0.277;1024;8.864;11.845
33;0.109;1089;3.597;11.557
34;0.906;1156;30.804;9.891
